indice,Date,Price
0,2006-11-07,555.0
1,2006-12-07,555.0
2,2006-07-13,555.0
3,2006-07-14,555.0
4,2006-07-17,555.0
5,2006-07-18,555.0
6,2006-07-19,555.0
7,2006-07-20,555.0
8,2006-07-21,525.0
9,2006-07-24,525.0
10,2006-07-25,525.0
11,2006-07-26,525.0
12,2006-07-27,525.0
13,2006-07-28,525.0
14,2006-07-31,525.0
15,2006-01-08,525.0
16,2006-02-08,525.0
17,2006-03-08,525.0
18,2006-04-08,525.0
19,2006-07-08,525.0
20,2006-08-08,525.0
21,2006-09-08,525.0
22,2006-10-08,525.0
23,2006-11-08,495.0
24,2006-08-14,495.0
25,2006-08-15,495.0
26,2006-08-16,495.0
27,2006-08-17,495.0
28,2006-08-18,490.0
29,2006-08-21,490.0
30,2006-08-22,490.0
31,2006-08-23,490.0
32,2006-08-24,490.0
33,2006-08-25,470.0
34,2006-08-28,470.0
35,2006-08-29,470.0
36,2006-08-30,470.0
37,2006-08-31,470.0
38,2006-01-09,485.0
39,2006-04-09,485.0
40,2006-05-09,485.0
41,2006-06-09,485.0
42,2006-07-09,485.0
43,2006-08-09,485.0
44,2006-11-09,485.0
45,2006-12-09,485.0
46,2006-09-13,485.0
47,2006-09-14,485.0
48,2006-09-15,485.0
49,2006-09-18,485.0
50,2006-09-19,485.0
51,2006-09-20,485.0
52,2006-09-21,485.0
53,2006-09-22,452.5
54,2006-09-25,452.5
55,2006-09-26,452.5
56,2006-09-27,452.5
57,2006-09-28,452.5
58,2006-09-29,452.5
59,2006-02-10,452.5
60,2006-03-10,452.5
61,2006-04-10,452.5
62,2006-05-10,452.5
63,2006-06-10,452.5
64,2006-09-10,452.5
65,2006-10-10,452.5
66,2006-11-10,452.5
67,2006-12-10,452.5
68,2006-10-13,485.0
69,2006-10-16,485.0
70,2006-10-17,485.0
71,2006-10-18,485.0
72,2006-10-19,485.0
73,2006-10-20,485.0
74,2006-10-23,485.0
75,2006-10-24,485.0
76,2006-10-25,485.0
77,2006-10-26,485.0
78,2006-10-27,485.0
79,2006-10-30,485.0
80,2006-10-31,485.0
81,2006-01-11,485.0
82,2006-02-11,485.0
83,2006-03-11,470.0
84,2006-06-11,470.0
85,2006-07-11,470.0
86,2006-08-11,470.0
87,2006-09-11,470.0
88,2006-10-11,470.0
89,2006-11-13,470.0
90,2006-11-14,470.0
91,2006-11-15,470.0
92,2006-11-16,470.0
93,2006-11-17,470.0
94,2006-11-20,470.0
95,2006-11-21,470.0
96,2006-11-22,470.0
97,2006-11-23,470.0
98,2006-11-24,470.0
99,2006-11-27,470.0
100,2006-11-28,470.0
101,2006-11-29,470.0
102,2006-11-30,470.0
103,2006-01-12,470.0
104,2006-04-12,470.0
105,2006-05-12,470.0
106,2006-06-12,470.0
107,2006-07-12,470.0
108,2006-08-12,470.0
109,2006-11-12,470.0
110,2006-12-12,470.0
111,2006-12-13,470.0
112,2006-12-14,470.0
113,2006-12-15,470.0
114,2006-12-18,470.0
115,2006-12-19,470.0
116,2006-12-20,470.0
117,2006-12-21,470.0
118,2006-12-22,470.0
119,2006-12-25,470.0
120,2006-12-26,470.0
121,2006-12-27,470.0
122,2006-12-28,470.0
123,2006-12-29,470.0
124,2007-01-01,470.0
125,2007-02-01,470.0
126,2007-03-01,470.0
127,2007-04-01,470.0
128,2007-05-01,470.0
129,2007-08-01,470.0
130,2007-09-01,470.0
131,2007-10-01,470.0
132,2007-11-01,470.0
133,2007-12-01,470.0
134,2007-01-15,470.0
135,2007-01-16,470.0
136,2007-01-17,470.0
137,2007-01-18,470.0
138,2007-01-19,470.0
139,2007-01-22,470.0
140,2007-01-23,470.0
141,2007-01-24,470.0
142,2007-01-25,470.0
143,2007-01-26,470.0
144,2007-01-29,470.0
145,2007-01-30,470.0
146,2007-01-31,470.0
147,2007-01-02,470.0
148,2007-02-02,470.0
149,2007-05-02,470.0
150,2007-06-02,470.0
151,2007-07-02,470.0
152,2007-08-02,470.0
153,2007-09-02,485.0
154,2007-12-02,485.0
155,2007-02-13,485.0
156,2007-02-14,485.0
157,2007-02-15,485.0
158,2007-02-16,485.0
159,2007-02-19,485.0
160,2007-02-20,485.0
161,2007-02-21,485.0
162,2007-02-22,485.0
163,2007-02-23,485.0
164,2007-02-26,485.0
165,2007-02-27,485.0
